participant_number,gender,age,included,notes
01,F,19,yes,
02,M,19,yes,
03,M,22,yes,
04,M,18,yes,
05,F,19,yes,
06,F,20,yes,
07,F,19,yes,
08,F,18,yes,
09,F,22,yes,
10,M,20,yes,
11,M,19,yes,
12,F,20,yes,
13,M,19,yes,
14,F,18,yes,
15,F,18,yes,
16,F,18,yes,
17,F,19,yes,
18,F,19,yes,
19,F,18,yes,
20,M,18,yes,
21,F,21,yes,
22,F,19,yes,
23,F,20,yes,
24,F,19,yes,
25,F,21,yes,
26,F,21,yes,
27,F,19,yes,
28,M,21,yes,
29,F,19,yes,
30,F,19,yes,
31,F,20,yes,
32,F,18,yes,
33,F,19,yes,
34,F,42,yes,
35,F,20,yes,
36,F,19,yes,
37,F,18,yes,
38,F,19,yes,
39,M,20,yes,
40,F,21,yes,
41,F,18,yes,
42,M,20,yes,
43,F,20,yes,
44,M,19,yes,
45,M,21,yes,
46,F,20,yes,
47,F,20,yes,
48,F,19,yes,
49,F,18,yes,
50,F,18,yes,
51,F,20,yes,
52,F,18,yes,
53,F,19,yes,
54,M,20,yes,
55,F,32,yes,
56,F,19,yes,
57,M,19,yes,
58,F,18,yes,
59,M,18,yes,
60,M,18,yes,
